2021-05-27 15:07:13,920 INFO    MainThread:41083 [wandb_setup.py:_flush():69] setting env: {}
2021-05-27 15:07:13,921 INFO    MainThread:41083 [wandb_setup.py:_flush():69] setting login settings: {'api_key': 'f97918185ed02886a90fa4464e7469c13c017460'}
2021-05-27 15:07:13,921 INFO    MainThread:41083 [wandb_setup.py:_flush():69] setting login settings: {'api_key': 'f97918185ed02886a90fa4464e7469c13c017460'}
2021-05-27 15:07:13,921 INFO    MainThread:41083 [wandb_setup.py:_flush():69] setting login settings: {}
2021-05-27 15:07:13,921 INFO    MainThread:41083 [wandb_init.py:_log_setup():336] Logging user logs to /home/veror/Desktop/Uni/Applied Machine Learning/Challenge/ML_project/AutoencoderModel/wandb/run-20210527_150713-3hprhj8z/logs/debug.log
2021-05-27 15:07:13,921 INFO    MainThread:41083 [wandb_init.py:_log_setup():337] Logging internal logs to /home/veror/Desktop/Uni/Applied Machine Learning/Challenge/ML_project/AutoencoderModel/wandb/run-20210527_150713-3hprhj8z/logs/debug-internal.log
2021-05-27 15:07:13,921 INFO    MainThread:41083 [wandb_init.py:init():369] calling init triggers
2021-05-27 15:07:13,921 INFO    MainThread:41083 [wandb_init.py:init():374] wandb.init called with sweep_config: {}
config: {}
2021-05-27 15:07:13,921 INFO    MainThread:41083 [wandb_init.py:init():418] starting backend
2021-05-27 15:07:13,921 INFO    MainThread:41083 [backend.py:_multiprocessing_setup():70] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2021-05-27 15:07:13,931 INFO    MainThread:41083 [backend.py:ensure_launched():132] starting backend process...
2021-05-27 15:07:13,942 INFO    MainThread:41083 [backend.py:ensure_launched():136] started backend process with pid: 41118
2021-05-27 15:07:13,944 INFO    MainThread:41083 [wandb_init.py:init():423] backend started and connected
2021-05-27 15:07:13,947 INFO    MainThread:41083 [wandb_init.py:init():465] updated telemetry
2021-05-27 15:07:13,948 INFO    MainThread:41083 [wandb_init.py:init():484] communicating current version
2021-05-27 15:07:14,759 INFO    MainThread:41083 [wandb_init.py:init():489] got version response 
2021-05-27 15:07:14,759 INFO    MainThread:41083 [wandb_init.py:init():497] communicating run to backend with 30 second timeout
2021-05-27 15:07:14,989 INFO    MainThread:41083 [wandb_init.py:init():522] starting run threads in backend
2021-05-27 15:07:16,687 INFO    MainThread:41083 [wandb_run.py:_console_start():1565] atexit reg
2021-05-27 15:07:16,687 INFO    MainThread:41083 [wandb_run.py:_redirect():1412] redirect: SettingsConsole.REDIRECT
2021-05-27 15:07:16,688 INFO    MainThread:41083 [wandb_run.py:_redirect():1417] Redirecting console.
2021-05-27 15:07:16,689 INFO    MainThread:41083 [wandb_run.py:_redirect():1479] Redirects installed.
2021-05-27 15:07:16,689 INFO    MainThread:41083 [wandb_init.py:init():546] run started, returning control to user process
2021-05-27 15:07:16,689 INFO    MainThread:41083 [wandb_config.py:__setitem__():141] config set epochs = 11 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7fbede974af0>>
2021-05-27 15:07:16,689 INFO    MainThread:41083 [wandb_run.py:_config_callback():787] config_cb epochs 11 None
2021-05-27 15:07:16,689 INFO    MainThread:41083 [wandb_config.py:__setitem__():141] config set batch_size = 3 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7fbede974af0>>
2021-05-27 15:07:16,689 INFO    MainThread:41083 [wandb_run.py:_config_callback():787] config_cb batch_size 3 None
